titulo,autores,generos,serie,sinopsis,url_portada,url_libro,fecha_extraccion,categoria_origen
Más Allá 23,F. L. Wallace,"Ciencia ficción, Fantástico, Publicaciónes periódicas, Relato",Libro 23 de:Más Allá,"Revista mensual de aventuras apasionantes en el mundo de la magia científicaABRIL 1955Novelas cortas* Un mundo de talentos, por Philip K. Dick* Amnesia de sí mismo, por F. L. WallaceCuentos*Asteroide cautivo, por Raymond Z. Gallun*Si Ud. fuera el único, por Richard Wilson*Llegarán las mansas lluvias, por Ray BradburyAventuras de la mente*Conquistador del Micromundo*El fin del mundo, por Kennet Heuer* Las edades glaciares, por Willy Ley (III)Novedades cósmicas*Correspondencia*Espaciotesty susRespuestas*Los sobres contienen sorpresas(Editorial)",https://assets.lectulandia.co/b/ab/AA%20VV/Mas%20Alla%2023%20(1246)/big.jpg,https://ww3.lectulandia.co/book/mas-alla-23/,2026-09-15 02:28:10,Ciencia Ficción
Náufragos del anti-tiempo,Víctor Conde,"Ciencia ficción, Novela",Libro 0 de:Metaverso: Relatos del Metaverso,"No te pierdas la nueva entrega de la exitosa saga de El Metaverso, donde cada space opera te va a llevar a explorar un nuevo universo lleno de aventuras y de acción.En Náufragos del anti-tiempo, Víctor Conde nos presenta a la familia Dandridge, quienes viven a bordo de su herencia familiar, la nave espacial El Constelación que utilizan para dirigir un negocio de entregas espaciales. Cuando Donna y Kopak se alían con los Dandridge, se unen a la tripulación de El Constelación y se ven envueltos en una conspiración intergaláctica que busca alterar el curso de la historia.Desde un misterioso planeta perdido en el tiempo hasta una Tierra futurista y distópica, los personajes deberán luchar contra el tiempo y enfrentarse a fuerzas oscuras que amenazan con destruirlos a todos. Con giros emocionantes y personajes inolvidables, este relato de ciencia ficción es imprescindible para cualquier aficionado del género. ¿Serán los héroes capaces de superar las adversidades y salvar el día, o caerán ante los peligros que les acechan? Acompáñalos en este emocionante viaje a través del espacio y el tiempo para descubrirlo.Este libro es perfecto para lectores nuevos y fans veteranos del género space opera. También es recomendada para los fans de las series de ciencia ficción como Dune, Star Wars o Star Trek.",https://assets.lectulandia.co/b/ab/Victor%20Conde/Naufragos%20del%20antitiempo%20(39)/big.jpg,https://ww3.lectulandia.co/book/naufragos-del-anti-tiempo/,2026-09-15 02:28:12,Ciencia Ficción
Una rosa en el paraíso,René Barjavel,"Ciencia ficción, Novela",N/A,"René Barjavel, consagrado autor de La noche de los tiempos y los caminos a Katmandú, retoma aquí uno de sus temas predilectos: el fin del mundo. La acción se sitúa en un futuro más o menos próximo en el que el avance de la técnica ha llegado a provocar la destrucción casi total de la vida en la Tierra. En una suerte de gigantesca nueva Arca, un sabio científico salva a una pareja humana con su familia, y a parejas de todas las especies animales. Extrañas situaciones, algunas dramáticas, otras románticas, se suceden en esta convivencia peculiar. Un simple caso de amor exige que el Arca deba abrirse. Del amor al crimen hay un paso. Del crimen al desastre otro paso.Barjavel deja abierto un final esperanzado para una humanidad que se estremece entre la duda, el temor y el deseo de sobrevivir. Una rosa en el paraíso es una notable obra de ciencia-ficción, plena de gracia e inocencia, no exenta de erotismo y de pícara sensualidad.",https://assets.lectulandia.co/b/ab/Rene%20Barjavel/Una%20rosa%20en%20el%20paraiso%20(4)/big.jpg,https://ww3.lectulandia.co/book/una-rosa-en-el-paraiso/,2026-09-15 02:28:15,Ciencia Ficción
Hipernautas,Víctor Conde,"Ciencia ficción, Novela",Libro 5 de:Metaverso,"El primer capitán de la flota estelar del Dominio Transhumano en ser un organismo genéticamente potenciado es Tao Émber. Fue creado en un laboratorio para potenciar sus capacidades lógicas y su mente analítica. Sin embargo, pronto descubrirá que el mando de una nave no va sobre máquinas, ni sobre tácticas, sino sobre personas. Y esto puede que le cueste la vida tanto a él como a su tripulación, cuando la nave donde presta servicio, la Helium, se enfrente a uno de los mayores misterios que se han encontrado jamás en el espacio del Dominio…¡Un homenaje a «Star Trek» dentro de la saga del «Metaverso»!",https://assets.lectulandia.co/b/ab/Victor%20Conde/Hipernautas%20(38)/big.jpg,https://ww3.lectulandia.co/book/hipernautas/,2026-09-15 02:28:17,Ciencia Ficción
Patrulla galactica,Edward E. Smith,"Ciencia ficción, Novela",Libro 3 de:Lensman,"¡TERROR DEL ESPACIO!Los piratas de Boskone asaltaban libremente, amenazando toda la estructura de la civilización interestelar, dirigidos por un «Supercientífico»… Sus flotas derrotaban aún a los poderosos cruceros espaciales de la Patrulla Galáctica.Cuando Kim Kinnison, de la Patrulla, descubrió la base secreta boskoniana, ¡era inexpugnable! Sólo un hombre podría penetrar sus defensas… ¡si deseaba luchar contra un millón de probabilidades, con una!Kinnison lo hizo… ¡con el futuro del Universo civilizado sobre sus hombros!",https://assets.lectulandia.co/b/ab/Edward%20E%20Smith/Patrulla%20galactica%20(5)/big.jpg,https://ww3.lectulandia.co/book/patrulla-galactica/,2026-09-15 02:28:20,Ciencia Ficción
El planeta secreto,Edward E. Smith,"Ciencia ficción, Novela",Libro 2 de:Lensman,"Ningún ser humano había estado jamás en el planeta escondido de Arisia. Una misteriosa barrera en el espacio devolvía a hombres y naves… Por fin pudo llegar el increíble Samms de la Patrulla Galáctica, quien regresó con el Lente, ese extraño artefacto que confiere poderes que nadie ha poseído…",https://assets.lectulandia.co/b/ab/Edward%20E%20Smith/El%20planeta%20secreto%20(4)/big.jpg,https://ww3.lectulandia.co/book/el-planeta-secreto/,2026-09-15 02:28:28,Ciencia Ficción
Imperio,Víctor Conde,"Ciencia ficción, Novela",Libro 4 de:Metaverso,"Desde la desaparición del Emperador Gestáltico, hace más de mil años, la humanidad ha sido incapaz de manejar el Metacampo y de acceder a la quinta fuerza fundamental del Universo, la Mnémica. Eso no ha impedido que se propague por el cosmos y desarrolle una civilización galáctica, si bien los logros del actual Dominio Transhumano distan mucho de alcanzar el esplendor y la magnificencia del antiguo Imperio Gestáltico.Sin embargo, tras el reciente colapso de la Variedad y la llegada de los exiliados de los universos-burbuja, empiezan a producirse diversos indicios que apuntan a un posible despertar del Metacampo, con todas las consecuencias que eso podría traer. Jan Delvián, monje guerrero, y Lina Kolbrand, capitana y corsaria estelar, verán de nuevo entrelazados sus destinos en una trama que involucra a los temibles urtianos, la inteligencia no órganica que rivaliza en poder con el legendario Imperio Gestáltico.",https://assets.lectulandia.co/b/ab/Victor%20Conde/Imperio%20(37)/big.jpg,https://ww3.lectulandia.co/book/imperio-victor-conde/,2026-09-15 02:28:30,Ciencia Ficción
Triplanetario,Edward E. Smith,"Ciencia ficción, Novela",Libro 1 de:Lensman,Triplanetarioes unaspace operaclásica que narra la milenaria guerra secreta entre dos razas alienígenas inmortales y superavanzadas: los benévolos Arisios y los malévolos Eddorianos. Ambos bandos manipulan genéticamente a la humanidad y a otras especies de la galaxia desde sus orígenes para convertirlas en peones de su conflicto cósmico.,https://assets.lectulandia.co/b/ab/Edward%20E%20Smith/Triplanetario%20(3)/big.jpg,https://ww3.lectulandia.co/book/triplanetario/,2026-09-15 02:28:33,Ciencia Ficción
Nucleogénesis / Déuteros,Víctor Conde,"Ciencia ficción, Novela",N/A,"En «Nucleogénesis», la existencia nace en el corazón ardiente de una gigante roja. Allí, entre ríos de plasma y criaturas que se alimentan de energía pura, Uxe descubre que la curiosidad puede ser el primer paso hacia una nueva forma de conciencia. «Nucleogénesis» es un viaje al corazón de la materia y de la conciencia, una epopeya de ciencia-ficción biológica donde el nacimiento de una mente puede alterar el destino de un universo entero.En «Déuteros», el escenario se traslada al silencio perpetuo de la Luna, donde una humanidad futura intenta descifrar los vestigios de su propia memoria. Entre polvo, ruinas y reflejos de un pasado remoto, la novela revela los secretos que la Tierra olvidó y que solo el satélite conserva en su soledad. Juntas, estas novelas trazan un díptico cósmico: del fuego al silencio, de la creación a la memoria. Dos relatos que invitan a pensar la vida como un fenómeno tan vasto como el universo que la sueña.Contiene los relatos:• Nucleogénesis• Déuteros",https://assets.lectulandia.co/b/ab/Victor%20Conde/Nucleogenesis%20%20Deuteros%20(36)/big.jpg,https://ww3.lectulandia.co/book/nucleogenesis-deuteros/,2026-09-15 02:28:36,Ciencia Ficción
Glamour de osario,Mark Samuels,"Ciencia ficción, Fantástico, Relato, Terror",N/A,"Mark Samuels (Londres 1967-2023), considerado por Ramsey Campbell como «el Thomas Ligotti inglés», es uno de los más destacados y originales narradores de literatura fantástica y de horror contemporáneos. Vinculado a la corriente de la «weird fiction», Samuels ha logrado reunir una obra consolidada –siete colecciones de relatos y dos novelas– a pesar de su prematuro fallecimiento a los 56 años.De los nueve relatos reunidos enGlamour de osario, los siete primeros comparten el mismo escenario geográfico imaginario, el valle del Thool y el pueblo de Gallows Langley, al norte de Londres, una suerte de epicentro telúrico y espiritual de actividad paranormal, mágica y sobrenatural, con una larga historia de tradiciones paganas, ritos druídicos y sacrificios humanos que se remontan a tiempos prerromanos, y con un repertorio legendario de maldiciones, apariciones, crímenes, suicidios y sucesos extraordinarios. La mayor parte de estas historias giran en torno a un tema omnipresente, la posibilidad de que el relato fantástico sea en sí mismo una forma de magia, una invocación capaz de alterar la realidad, no solo mental, de sus lectores. El oscuro e impenetrable bosque de Penceddo, el pub El Hombre Verde o el manicomio local abandonado de infausto recuerdo serán sus escenarios; y los siniestros ocultistas que forman parte del Culto de Lilith, el viejo escritor de terror Rupert Alderman, el infame doctor Charles Winterburn o el sacerdote experto en ocultismo Alphonse Winters, algunos de sus protagonistas.Los dos últimos relatos, “Si aún manda el destino”, que plantea la carencia de libre albedrío en una nueva era de máquinas pensantes, y “El fin de la muerte”, que nos sitúa en el fin de los tiempos, cuando los vivos se comporten como muertos en vida, los muertos resuciten y hasta la muerte pueda morir, completan este volumen.",https://assets.lectulandia.co/b/ab/Mark%20Samuels/Glamour%20de%20osario%20(2)/big.jpg,https://ww3.lectulandia.co/book/glamour-de-osario/,2026-09-15 02:28:39,Ciencia Ficción
